source;target
0;6586
0;7411
0;11562
0;13315
0;18738
0;20018
0;20420
0;24470
1;7702
1;11703
1;13456
1;18136
1;19767
1;22016
1706;2
2;8627
18824;2
19701;2
3;8610
11192;3
13266;3
21089;3
21930;3
1610;4
1793;4
3547;4
4;8699
10294;4
11348;4
13549;4
24267;4
5;5483
5;6048
5;8389
12841;5
16382;5
16992;5
18769;5
6;7664
6;8529
11489;6
12561;6
12898;6
15552;6
16322;6
19894;6
7;7594
7;8498
16905;7
17014;7
3861;8
8;9171
11214;8
12064;8
17971;8
18550;8
7793;9
9;9595
17072;9
21450;9
24461;9
10;3503
10;5045
10;5261
10;6338
10;9379
10;10292
10;17151
10;18392
11;2100
11;9199
11;12254
11;18116
11;18480
11;21860
108;12
12;5113
10950;12
12;13929
12;16657
12;17142
12;20901
12;24417
13;3018
13;6984
13;8214
10560;13
13;13367
13;13851
13;18530
13;19084
14;3062
14;5345
14;8081
14;8086
14;15560
14;20014
14;21470
15;686
15;6515
15;7536
15;9604
10594;15
11236;15
11770;15
13989;15
14538;15
15;15068
15;16310
15;17293
15;19204
15;21025
15;22178
15;22737
15;23015
16;2632
16;4691
16;5918
16;19536
17;5404
17;9188
10263;17
11471;17
13157;17
17;23743
18;4656
16912;18
18;20339
11066;19
13242;19
14097;19
15495;19
15812;19
19;19478
19;20034
19;21001
19;23817
1125;20
1432;20
1647;20
20;8365
20;20886
20;21030
21;9468
12871;21
17948;21
20858;21
21;23071
1465;22
22;9466
12421;22
13568;22
19464;22
1206;23
1235;23
23;8326
18043;23
20333;23
20610;23
24;2844
24;4234
24;4648
24;5300
24;7692
24;9594
14283;24
16725;24
17657;24
20330;24
20912;24
22086;24
149;25
25;6918
25;7347
25;7590
16237;25
18305;25
20658;25
26;8264
26;9165
15700;26
19113;26
20889;26
12160;27
12248;27
17627;27
18659;27
21291;27
23698;27
1880;28
1909;28
28;7279
28;8768
10874;28
14221;28
14353;28
15627;28
15881;28
20215;28
20652;28
2873;29
29;3747
29;6348
29;7073
13318;29
14238;29
14502;29
15193;29
16154;29
16393;29
22740;29
1173;30
30;5971
30;7633
30;9491
13544;30
15750;30
23695;30
24441;30
2048;31
31;5283
31;6094
31;7871
15999;31
18499;31
1766;32
32;6984
32;9948
12587;32
15208;32
16826;32
22166;32
23187;32
24352;32
1350;33
33;4091
12020;33
12990;33
13826;33
1085;34
1218;34
1707;34
34;4413
34;6259
34;7837
10819;34
12376;34
13761;34
14906;34
23613;34
35;972
2693;35
35;4159
35;6147
3185;36
36;4720
36;4883
12705;36
13097;36
19518;36
21480;36
1798;37
2023;37
37;8301
37;8574
12356;37
14349;37
15548;37
20592;37
2154;38
38;4687
38;9329
14163;38
18045;38
19231;38
1250;39
39;4820
11728;39
18510;39
20383;39
2136;40
40;8268
10514;40
11785;40
17331;40
1568;41
2178;41
2193;41
41;6821
41;6869
13370;41
16638;41
16680;41
17829;41
20227;41
3269;42
42;5354
42;6869
42;8177
42;9534
10148;42
10538;42
14112;42
16684;42
19402;42
19878;42
21904;42
23518;42
1173;43
43;4689
11098;43
15984;43
21327;43
22315;43
2387;44
2908;44
3744;44
3848;44
44;5234
12507;44
13839;44
16325;44
24299;44
311;45
45;9581
19777;45
22809;45
3075;46
46;7865
19766;46
47;882
47;6162
47;8369
47;9574
13294;47
14146;47
15452;47
15729;47
17148;47
18190;47
48;4959
